"Time","MolarityNaF","Treatment","Group","Arms0","Arms1","Arms2","Total"
"2-48 h",0.002,"NaF","A",15,4,1,20
"2-48 h",0.002,"NaF","A",22,2,3,27
"2-48 h",0.002,"NaF","A",0,16,4,20
"2-48 h",0.002,"NaF","A",9,2,2,13
"2-48 h",0.002,"NaF","A",9,0,4,13
"2-48 h",0.002,"NaF","A",7,7,8,22
"2-48 h",0.002,"NaF","A",20,6,4,30
"2-48 h",0.002,"NaF","A",15,5,0,20
"2-48 h",0.002,"NaF","A",26,0,0,26
"2-48 h",0.002,"NaF","A",22,0,0,22
"2-48 h",0.002,"NaF","A",24,2,2,28
"2-48 h",0.002,"NaF","A",12,5,4,21
"2-48 h",0.002,"NaF","A",18,3,1,22
"2-48 h",0.002,"NaF","A",12,4,4,20
"2-48 h",0.002,"NaF","A",13,3,4,20
"2-48 h",0.002,"NaF","A",4,3,11,18
"2-48 h",0.002,"NaF","A",19,2,0,21
"2-48 h",0.002,"NaF","A",19,1,2,22
"2-48 h",0.002,"NaF","A",4,4,9,17
"2-48 h",0.002,"NaF","A",5,8,4,17
"2-48 h",0.002,"NaF","A",8,8,5,21
"2-48 h",0.004,"NaF","B",12,2,3,17
"2-48 h",0.004,"NaF","B",15,2,0,17
"2-48 h",0.004,"NaF","B",7,5,20,32
"2-48 h",0.004,"NaF","B",14,0,0,14
"2-48 h",0.004,"NaF","B",15,0,0,15
"2-48 h",0.004,"NaF","B",18,0,2,20
"2-48 h",0.004,"NaF","B",17,0,3,20
"2-48 h",0.004,"NaF","B",5,2,6,13
"2-48 h",0.004,"NaF","B",14,2,3,19
"2-48 h",0.004,"NaF","B",2,0,1,3
"2-48 h",0.004,"NaF","B",3,0,0,3
"2-48 h",0.004,"NaF","B",12,4,5,21
"2-48 h",0.004,"NaF","B",14,0,0,14
"2-48 h",0.004,"NaF","B",23,0,0,23
"2-48 h",0.004,"NaF","B",8,7,11,26
"2-48 h",0.004,"NaF","B",7,5,8,20
"2-48 h",0.004,"NaF","B",15,5,0,20
"2-48 h",0.004,"NaF","B",16,3,14,33
"2-48 h",0.004,"NaF","B",37,9,8,54
"2-48 h",0.004,"NaF","B",28,1,7,36
"2-48 h",0.004,"NaF","B",14,3,9,26
"24-48 h",0.002,"NaF","C",6,8,10,24
"24-48 h",0.002,"NaF","C",4,2,16,22
"24-48 h",0.002,"NaF","C",4,5,16,25
