"gene_id","locus","Ctl","NaF","Log2fc","p_value","UD","isTarget","Common.Name","Biological.Process","IPR"
"XLOC_015581","LVA_018905",52.1971,7.0781,-2.88254,0.00015,"Down"," ",NA,NA,NA
"XLOC_015582","LVA_018906",25.7101,4.10289,-2.64762,5e-05,"Down"," ","Lv-Gi",NA,NA
"XLOC_015584","LVA_018908",25.6456,4.52775,-2.50185,0.00025,"Down"," ","Lv-Abat",NA,NA
"XLOC_015583","LVA_018907",20.243,4.16879,-2.27972,0.00035,"Down"," ",NA,NA,NA
"XLOC_002281","LVA_002632",40.0267,8.87063,-2.17385,5e-05,"Down"," ","Lv-Col18a1Lf","nucleosome assembly","Histone H2B"
"XLOC_015298","LVA_018551",171.728,41.6746,-2.04289,5e-05,"Down"," ","Lv-Napepld","nucleosome assembly","Histone H2B"
"XLOC_007646","LVA_009055",679.312,165.435,-2.03781,5e-05,"Down"," ","Lv-Sdt","nucleosome assembly","Histone H2B"
"XLOC_022111","LVA_027642",59.0121,14.855,-1.99006,5e-05,"Down"," ",NA,NA,NA
"XLOC_012404","LVA_014915",37.8068,149.588,1.98428,5e-05,"Up"," ","Lv-Mfn","proteolysis",NA
"XLOC_001772","LVA_002048",217.676,57.2436,-1.92699,5e-05,"Down","LVA_002048","Lv-AcheL_3","nucleosome assembly","Histone H2B"
"XLOC_009450","LVA_011185",100.389,26.6735,-1.91212,5e-05,"Down"," ","Lv-Sfrs6","nucleosome assembly","Histone H2B"
"XLOC_014640","LVA_017711",34.2509,9.39365,-1.86639,1e-04,"Down"," ","Lv-C10orf76L","DNA integration",NA
"XLOC_006367","LVA_007471",80.6442,23.5523,-1.7757,0.0255,"Down"," ","Lv-Kiaa0415L_1",NA,NA
"XLOC_018820","LVA_023051",239.155,70.6727,-1.75872,0.00015,"Down"," ",NA,NA,NA
"XLOC_001773","LVA_002049",30.3013,9.03282,-1.74613,0.001,"Down"," ","Lv-Selenbp1_1","nucleosome assembly",NA
"XLOC_002018","LVA_002333",11.0072,36.8478,1.74313,5e-05,"Up"," ","Lv-Hcfc2","proteolysis",NA
"XLOC_002283","LVA_002634",107.487,32.1096,-1.74308,5e-05,"Down"," ","Lv-Usp25","nucleosome assembly","Histone H3"
"XLOC_016106","LVA_019572",184.251,55.0799,-1.74208,5e-05,"Down"," ",NA,"nucleosome assembly",NA
"XLOC_000889","LVA_001053",10403.8,3180.51,-1.70978,0.00515,"Down"," ",NA,NA,NA
"XLOC_022017","LVA_027498",15.9652,4.88365,-1.7089,0.03765,"Down"," ",NA,NA,NA
"XLOC_003176","LVA_003684",13.9744,4.32113,-1.69331,0.0336,"Down"," ",NA,NA,NA
"XLOC_008445","LVA_009995",70.3549,21.8562,-1.68661,7e-04,"Down"," ","Lv-Wap/Ty/Egf",NA,NA
"XLOC_007647","LVA_009056",207.527,67.4116,-1.62223,5e-05,"Down"," ",NA,"nucleosome assembly",NA
"XLOC_019398","LVA_023827",55.7168,18.1211,-1.62044,0.00015,"Down"," ",NA,NA,NA
"XLOC_003962","LVA_004607",267.465,87.1255,-1.61818,1e-04,"Down"," ",NA,"nucleosome assembly","Histone H5"
"XLOC_003174","LVA_003682",14.6791,4.82508,-1.60514,0.01025,"Down"," ","Lv-Z94",NA,NA
"XLOC_021007","LVA_026018",275.821,90.7122,-1.60436,1e-04,"Down"," ",NA,NA,NA
"XLOC_019397","LVA_023826",67.5282,22.2374,-1.6025,0.00015,"Down"," ",NA,NA,NA
"XLOC_007288","LVA_008629",6.98298,21.138,1.59792,0.02785,"Up"," ",NA,NA,NA
"XLOC_009496","LVA_011239",103.323,34.3523,-1.58868,6e-04,"Down"," ","Lv-C4st","nucleosome assembly","Histone H3"
"XLOC_012949","LVA_015592",6.26701,2.11389,-1.56788,0.0157,"Down"," ","Lv-Papd5",NA,"Proteinase inhibitor I35, tissue inhibitor of metalloproteinase"
"XLOC_014824","LVA_017935",43.959,14.8291,-1.56772,0.0477,"Down"," ","Lv-Spire1",NA,NA
"XLOC_003639","LVA_004244",7.93738,2.68906,-1.56156,0.0035,"Down"," ","Lv-Nusap1L","lipid transport",NA
"XLOC_002282","LVA_002633",319.408,108.271,-1.56075,0.00035,"Down"," ",NA,"nucleosome assembly","Histone H4"
"XLOC_009495","LVA_011238",518.573,175.874,-1.56001,0.00065,"Down"," ","Lv-Ccdc62","nucleosome assembly","Histone H4"
"XLOC_019399","LVA_023828",41.96,14.4185,-1.54109,0.00015,"Down"," ",NA,NA,NA
"XLOC_001000","LVA_001182",356.288,122.676,-1.53819,0.00065,"Down"," ","Lv-Lrr1_1","nucleosome assembly","Histone H4"
"XLOC_000359","LVA_000418",8.63932,2.98528,-1.53305,0.00315,"Down"," ",NA,NA,NA
"XLOC_008444","LVA_009994",125.371,43.4772,-1.52787,8e-04,"Down"," ",NA,NA,NA
"XLOC_003177","LVA_003685",13.1868,4.67627,-1.49566,0.0461,"Down"," ",NA,NA,NA
"XLOC_010030","LVA_011916",109.584,39.095,-1.48699,0.00395,"Down"," ","Lv-Nedd8","lipid transport",NA
"XLOC_005475","LVA_006405",60.5959,169.754,1.48616,0.03935,"Up"," ","Lv-ThrombA1","metabolic process",NA
"XLOC_012520","LVA_015059",24.2282,8.66036,-1.48419,0.00015,"Down"," ","Lv-Nphp3",NA,NA
"XLOC_014964","LVA_018139",66.7038,24.1,-1.46874,0.00115,"Down"," ","Lv-Hypp_288","nucleosome assembly",NA
"XLOC_012066","LVA_014480",4.31433,11.8648,1.45948,0.04825,"Up"," ",NA,NA,NA
"XLOC_003179","LVA_003687",7.54739,2.76064,-1.45098,0.0076,"Down"," ","Lv-Tmem26",NA,"Protein of unknown function DUF1759"
"XLOC_021980","LVA_027447",83.734,227.7,1.44325,0.0247,"Up"," ",NA,NA,NA
"XLOC_004373","LVA_005073",2.67868,7.27458,1.44134,0.01635,"Up"," ",NA,NA,"Peptidase M76, ATP23"
"XLOC_000140","LVA_000141",2.01331,5.32445,1.40306,0.01845,"Up"," ",NA,NA,NA
"XLOC_000348","LVA_000407",136.385,51.812,-1.39632,0.00055,"Down"," ",NA,NA,NA
"XLOC_017043","LVA_020762",27.0971,10.3052,-1.39477,0.00255,"Down"," ","Lv-Xrn1_1","nucleotide catabolic process","5'-Nucleotidase/apyrase"
"XLOC_021086","LVA_026147",5.73173,2.21597,-1.37103,0.01935,"Down"," ",NA,NA,NA
"XLOC_002017","LVA_002332",17.4763,45.0225,1.36524,0.0043,"Up"," ","Lv-Hcfc2","proteolysis",NA
"XLOC_019175","LVA_023531",10.1805,3.98305,-1.35387,0.01935,"Down"," ",NA,NA,NA
"XLOC_020852","LVA_025797",8.48072,3.33341,-1.34719,0.0194,"Down"," ",NA,NA,NA
"XLOC_019787","LVA_024350",17.1164,6.7725,-1.33762,0.01175,"Down"," ",NA,NA,NA
"XLOC_000319","LVA_000368",11.0281,4.37366,-1.33427,0.0155,"Down"," ",NA,NA,NA
"XLOC_013905","LVA_016798",438.888,174.118,-1.33379,0.0099,"Down"," ",NA,NA,NA
"XLOC_012065","LVA_014479",9.88122,24.8786,1.33215,0.0434,"Up"," ",NA,NA,NA
"XLOC_013177","LVA_015886",2.53501,6.33605,1.32159,0.0451,"Up"," ",NA,NA,NA
"XLOC_001545","LVA_001782",13.7431,5.50225,-1.32062,0.01645,"Down"," ",NA,NA,NA
"XLOC_000643","LVA_000753",10.9167,4.41401,-1.30638,0.0027,"Down"," ",NA,NA,NA
"XLOC_003637","LVA_004243",358.547,145.279,-1.30334,0.00655,"Down"," ",NA,NA,NA
"XLOC_017474","LVA_021335",35.8857,14.5694,-1.30047,0.0014,"Down"," ",NA,NA,NA
