"gene_id","locus","Ctl","NaF","Log2fc","p_value","UD","Percentile"
"XLOC_011663","LVA_013975",2.1789,0.00109916,-10.953,0.04185,"Down",1
"XLOC_015581","LVA_018905",52.1971,7.0781,-2.88254,0.00015,"Down",0.997167138810198
"XLOC_015582","LVA_018906",25.7101,4.10289,-2.64762,5e-05,"Down",0.994334277620397
"XLOC_014749","LVA_017845",1.40233,0.22393,-2.64671,0.0484,"Down",0.991501416430595
"XLOC_003733","LVA_004357",1.03465,0.166253,-2.63769,0.046,"Down",0.988668555240793
"XLOC_015584","LVA_018908",25.6456,4.52775,-2.50185,0.00025,"Down",0.985835694050991
"XLOC_002760","LVA_003218",3.6156,0.719591,-2.32899,0.04855,"Down",0.98300283286119
"XLOC_015583","LVA_018907",20.243,4.16879,-2.27972,0.00035,"Down",0.980169971671388
"XLOC_019789","LVA_024352",1.29215,0.281382,-2.19918,2e-04,"Down",0.977337110481586
"XLOC_004814","LVA_005617",1.37847,0.301688,-2.19194,0.00655,"Down",0.974504249291785
"XLOC_002281","LVA_002632",40.0267,8.87063,-2.17385,5e-05,"Down",0.971671388101983
"XLOC_003452","LVA_004022",1.37708,0.307164,-2.16453,0.0337,"Down",0.968838526912181
"XLOC_005177","LVA_006033",4.81229,1.10724,-2.11975,0.0437,"Down",0.96600566572238
"XLOC_005621","LVA_006585",3.93165,0.924132,-2.08896,0.0351,"Down",0.963172804532578
"XLOC_005620","LVA_006584",3.01575,0.710001,-2.08662,0.0016,"Down",0.960339943342776
"XLOC_015298","LVA_018551",171.728,41.6746,-2.04289,5e-05,"Down",0.957507082152975
"XLOC_007646","LVA_009055",679.312,165.435,-2.03781,5e-05,"Down",0.954674220963173
"XLOC_022111","LVA_027642",59.0121,14.855,-1.99006,5e-05,"Down",0.951841359773371
"XLOC_012404","LVA_014915",37.8068,149.588,1.98428,5e-05,"Up",0.949008498583569
"XLOC_001772","LVA_002048",217.676,57.2436,-1.92699,5e-05,"Down",0.946175637393768
"XLOC_009450","LVA_011185",100.389,26.6735,-1.91212,5e-05,"Down",0.943342776203966
"XLOC_014640","LVA_017711",34.2509,9.39365,-1.86639,1e-04,"Down",0.940509915014164
"XLOC_009048","LVA_010718",1.41677,0.404517,-1.80834,0.01885,"Down",0.937677053824363
"XLOC_002396","LVA_002758",2.61218,0.746322,-1.80738,0.03115,"Down",0.934844192634561
"XLOC_006367","LVA_007471",80.6442,23.5523,-1.7757,0.0255,"Down",0.932011331444759
"XLOC_018820","LVA_023051",239.155,70.6727,-1.75872,0.00015,"Down",0.929178470254957
"XLOC_001773","LVA_002049",30.3013,9.03282,-1.74613,0.001,"Down",0.926345609065156
"XLOC_002018","LVA_002333",11.0072,36.8478,1.74313,5e-05,"Up",0.923512747875354
"XLOC_002283","LVA_002634",107.487,32.1096,-1.74308,5e-05,"Down",0.920679886685552
"XLOC_016106","LVA_019572",184.251,55.0799,-1.74208,5e-05,"Down",0.917847025495751
"XLOC_005630","LVA_006594",1.98193,0.603681,-1.71505,0.02495,"Down",0.915014164305949
"XLOC_000889","LVA_001053",10403.8,3180.51,-1.70978,0.00515,"Down",0.912181303116147
"XLOC_008807","LVA_010436",3.52292,1.07705,-1.70968,0.01565,"Down",0.909348441926346
"XLOC_022017","LVA_027498",15.9652,4.88365,-1.7089,0.03765,"Down",0.906515580736544
"XLOC_003176","LVA_003684",13.9744,4.32113,-1.69331,0.0336,"Down",0.903682719546742
"XLOC_008445","LVA_009995",70.3549,21.8562,-1.68661,7e-04,"Down",0.900849858356941
"XLOC_019788","LVA_024351",4.73279,1.48666,-1.67062,0.00385,"Down",0.898016997167139
"XLOC_003383","LVA_003933",4.33805,1.40115,-1.63044,0.0032,"Down",0.895184135977337
"XLOC_007647","LVA_009056",207.527,67.4116,-1.62223,5e-05,"Down",0.892351274787535
"XLOC_019398","LVA_023827",55.7168,18.1211,-1.62044,0.00015,"Down",0.889518413597734
"XLOC_003962","LVA_004607",267.465,87.1255,-1.61818,1e-04,"Down",0.886685552407932
"XLOC_001339","LVA_001545",4.03604,1.32644,-1.60538,0.00925,"Down",0.88385269121813
"XLOC_003174","LVA_003682",14.6791,4.82508,-1.60514,0.01025,"Down",0.881019830028329
"XLOC_021007","LVA_026018",275.821,90.7122,-1.60436,1e-04,"Down",0.878186968838527
"XLOC_019397","LVA_023826",67.5282,22.2374,-1.6025,0.00015,"Down",0.875354107648725
"XLOC_007288","LVA_008629",6.98298,21.138,1.59792,0.02785,"Up",0.872521246458923
"XLOC_009496","LVA_011239",103.323,34.3523,-1.58868,6e-04,"Down",0.869688385269122
"XLOC_017502","LVA_021363",1.53866,4.58361,1.57481,0.04545,"Up",0.86685552407932
"XLOC_012949","LVA_015592",6.26701,2.11389,-1.56788,0.0157,"Down",0.864022662889518
"XLOC_014824","LVA_017935",43.959,14.8291,-1.56772,0.0477,"Down",0.861189801699717
"XLOC_003639","LVA_004244",7.93738,2.68906,-1.56156,0.0035,"Down",0.858356940509915
"XLOC_002282","LVA_002633",319.408,108.271,-1.56075,0.00035,"Down",0.855524079320113
"XLOC_009495","LVA_011238",518.573,175.874,-1.56001,0.00065,"Down",0.852691218130312
"XLOC_005525","LVA_006477",3.63129,1.23543,-1.55546,0.00245,"Down",0.84985835694051
"XLOC_019399","LVA_023828",41.96,14.4185,-1.54109,0.00015,"Down",0.847025495750708
"XLOC_001000","LVA_001182",356.288,122.676,-1.53819,0.00065,"Down",0.844192634560907
"XLOC_001883","LVA_002189",5.23879,1.8045,-1.53763,0.03775,"Down",0.841359773371105
"XLOC_000359","LVA_000418",8.63932,2.98528,-1.53305,0.00315,"Down",0.838526912181303
"XLOC_001887","LVA_002192",3.20907,1.10906,-1.53282,0.0466,"Down",0.835694050991501
"XLOC_008444","LVA_009994",125.371,43.4772,-1.52787,8e-04,"Down",0.8328611898017
"XLOC_012069","LVA_014483",5.2417,1.82725,-1.52036,0.00215,"Down",0.830028328611898
"XLOC_000489","LVA_000561",1.43687,4.10998,1.5162,0.0125,"Up",0.827195467422096
"XLOC_003177","LVA_003685",13.1868,4.67627,-1.49566,0.0461,"Down",0.824362606232295
"XLOC_010030","LVA_011916",109.584,39.095,-1.48699,0.00395,"Down",0.821529745042493
"XLOC_005475","LVA_006405",60.5959,169.754,1.48616,0.03935,"Up",0.818696883852691
"XLOC_012520","LVA_015059",24.2282,8.66036,-1.48419,0.00015,"Down",0.815864022662889
"XLOC_014964","LVA_018139",66.7038,24.1,-1.46874,0.00115,"Down",0.813031161473088
"XLOC_012066","LVA_014480",4.31433,11.8648,1.45948,0.04825,"Up",0.810198300283286
"XLOC_013808","LVA_016657",1.47702,0.537215,-1.45912,0.03575,"Down",0.807365439093484
"XLOC_001336","LVA_001542",2.39659,0.874812,-1.45394,0.0163,"Down",0.804532577903683
"XLOC_003179","LVA_003687",7.54739,2.76064,-1.45098,0.0076,"Down",0.801699716713881
"XLOC_021980","LVA_027447",83.734,227.7,1.44325,0.0247,"Up",0.798866855524079
"XLOC_001337","LVA_001543",2.6405,0.972296,-1.44135,0.0022,"Down",0.796033994334278
"XLOC_004373","LVA_005073",2.67868,7.27458,1.44134,0.01635,"Up",0.793201133144476
"XLOC_005240","LVA_006111",1.08441,0.400357,-1.43755,0.048,"Down",0.790368271954674
"XLOC_016025","LVA_019468",4.86529,1.80362,-1.43163,0.02225,"Down",0.787535410764873
"XLOC_018659","LVA_022847",5.36338,1.99256,-1.42852,0.0186,"Down",0.784702549575071
"XLOC_013291","LVA_016030",1.67259,4.43721,1.40757,0.00725,"Up",0.781869688385269
"XLOC_000140","LVA_000141",2.01331,5.32445,1.40306,0.01845,"Up",0.779036827195467
"XLOC_020910","LVA_025879",1.72433,0.652288,-1.40246,0.0417,"Down",0.776203966005666
"XLOC_000348","LVA_000407",136.385,51.812,-1.39632,0.00055,"Down",0.773371104815864
"XLOC_017043","LVA_020762",27.0971,10.3052,-1.39477,0.00255,"Down",0.770538243626062
"XLOC_008025","LVA_009495",1.78097,0.679052,-1.39107,0.04715,"Down",0.767705382436261
"XLOC_000317","LVA_000366",2.26899,0.874594,-1.37537,0.03555,"Down",0.764872521246459
"XLOC_021086","LVA_026147",5.73173,2.21597,-1.37103,0.01935,"Down",0.762039660056657
"XLOC_002017","LVA_002332",17.4763,45.0225,1.36524,0.0043,"Up",0.759206798866855
"XLOC_000361","LVA_000420",3.56529,1.39457,-1.3542,0.00655,"Down",0.756373937677054
"XLOC_019175","LVA_023531",10.1805,3.98305,-1.35387,0.01935,"Down",0.753541076487252
"XLOC_020852","LVA_025797",8.48072,3.33341,-1.34719,0.0194,"Down",0.75070821529745
"XLOC_019787","LVA_024350",17.1164,6.7725,-1.33762,0.01175,"Down",0.747875354107649
"XLOC_000319","LVA_000368",11.0281,4.37366,-1.33427,0.0155,"Down",0.745042492917847
"XLOC_013905","LVA_016798",438.888,174.118,-1.33379,0.0099,"Down",0.742209631728045
"XLOC_012065","LVA_014479",9.88122,24.8786,1.33215,0.0434,"Up",0.739376770538244
"XLOC_013177","LVA_015886",2.53501,6.33605,1.32159,0.0451,"Up",0.736543909348442
"XLOC_001545","LVA_001782",13.7431,5.50225,-1.32062,0.01645,"Down",0.73371104815864
"XLOC_000643","LVA_000753",10.9167,4.41401,-1.30638,0.0027,"Down",0.730878186968839
"XLOC_005363","LVA_006263",1.9673,0.796123,-1.30516,0.02465,"Down",0.728045325779037
"XLOC_003637","LVA_004243",358.547,145.279,-1.30334,0.00655,"Down",0.725212464589235
"XLOC_017474","LVA_021335",35.8857,14.5694,-1.30047,0.0014,"Down",0.722379603399433
"XLOC_021329","LVA_026477",4.53458,11.1666,1.30015,0.03365,"Up",0.719546742209632
"XLOC_004500","LVA_005226",11.0872,27.3018,1.3001,0.0021,"Up",0.71671388101983
"XLOC_011955","LVA_014348",5.51062,13.5606,1.29914,0.01335,"Up",0.713881019830028
"XLOC_014341","LVA_017346",1636.3,4017.39,1.29582,0.0476,"Up",0.711048158640227
"XLOC_003636","LVA_004242",360.431,147.318,-1.29079,0.00805,"Down",0.708215297450425
"XLOC_006051","LVA_007096",6.98447,2.85611,-1.2901,0.0025,"Down",0.705382436260623
"XLOC_002516","LVA_002905",16.8509,41.1833,1.28923,0.00175,"Up",0.702549575070821
"XLOC_000940","LVA_001114",6.99436,2.86485,-1.28773,0.02365,"Down",0.69971671388102
